name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
OperatingCashFlow,"4,475,259,000","1,151,000,000","963,000,000","981,510,000","1,379,749,000","902,405,000","551,563,000","800,004,000","1,014,979,000","849,727,000","762,845,000","555,055,000","1,009,870,000","711,126,000","610,454,000","505,320,000","830,615,000","477,126,000","235,398,000","438,335,000","624,101,000","96,706,000","400,180,000","31,483,000","527,067,000","345,949,000","208,118,000","359,505,000","495,915,000","218,681,000","322,543,000","190,327,000","422,380,000","299,738,000","85,461,000","237,471,000","346,596,000","254,894,000","198,169,000","223,820,000","238,694,000","182,695,000","205,659,000","189,652,000","334,683,000","252,447,000","144,821,000","109,641,000","309,924,000","221,967,000","224,580,000","144,513,000","267,424,000","205,514,000","184,623,000","183,983,000","290,119,000","223,742,000","294,803,000","166,101,000","382,189,000","256,263,000","334,545,000","332,870,000","426,583,000","273,872,000","403,131,000","358,970,000","426,832,000","399,976,000","423,178,000","346,527,000","419,901,000","357,753,000","327,840,000","433,948,000","509,084,000","446,402,000","397,003,000","466,455,000","478,236,000","367,383,000","300,470,000","326,818,000","228,529,000","65,419,000","48,286,000","-9,333,000","3,996,000","-598,000","306,000","569,000","2,492,000","2,262,000","-2,694,000","-24,654,000","6,800,000","11,300,000","14,100,000","21,006,000","13,100,000","21,800,000","12,600,000","18,338,000","13,400,000","11,200,000","6,100,000","6,489,000","17,400,000","6,500,000","600,000","-200,000"
	CashFlowFromContinuingOperatingActivities,"4,475,259,000","1,151,000,000","963,000,000","981,510,000","1,379,749,000","902,405,000","551,563,000","800,004,000","1,014,979,000","849,727,000","762,845,000","555,055,000","1,009,870,000","711,126,000","610,454,000","505,320,000","830,615,000","477,126,000","235,398,000","438,335,000","624,101,000","96,706,000","400,180,000","31,483,000","527,067,000","345,949,000","208,118,000","359,505,000","495,915,000","218,681,000","322,543,000","190,327,000","422,380,000","299,738,000","85,461,000","237,471,000","346,596,000","254,894,000","198,169,000","223,820,000","238,694,000","182,695,000","205,659,000","189,652,000","334,683,000","252,447,000","144,821,000","109,641,000","309,924,000","221,967,000","224,580,000","144,513,000","267,424,000","205,514,000","184,623,000","183,983,000","290,119,000","223,742,000","294,803,000","166,101,000","382,189,000","256,263,000","334,545,000","332,870,000","426,583,000","273,872,000","403,131,000","358,970,000","426,832,000","399,976,000","423,178,000","346,527,000","419,901,000","357,753,000","327,840,000","433,948,000","509,084,000","446,402,000","397,003,000","466,455,000","478,236,000","367,383,000","300,470,000","326,818,000","228,529,000","65,419,000","48,286,000","-9,333,000","3,996,000","-598,000","306,000","569,000","2,492,000","2,262,000","-2,694,000","-24,654,000","6,800,000","11,300,000","14,100,000","21,006,000","13,100,000","21,800,000","12,600,000","18,338,000","13,400,000","11,200,000","6,100,000","6,489,000","17,400,000","6,500,000","600,000","-200,000"
		NetIncomeFromContinuingOperations,"2,267,046,000","669,000,000","717,000,000","862,788,000","18,258,000","403,945,000","197,432,000","623,675,000","421,415,000","718,664,000","475,708,000","599,314,000","488,682,000","466,389,000","-88,674,000","312,768,000","399,189,000","485,845,000","495,498,000","56,324,000","248,766,000","256,347,000","166,384,000","201,792,000","-45,217,000","199,099,000","274,035,000","95,574,000","303,620,000","249,357,000","175,627,000","28,006,000","64,000,000","125,819,000","308,757,000","207,134,000","223,264,000","211,717,000","179,145,000","161,490,000","114,825,000","176,940,000","256,476,000","19,217,000","189,656,000","220,268,000","164,256,000","143,272,000","168,988,000","98,342,000","25,756,000","234,112,000","148,031,000","243,451,000","216,994,000","291,157,000","280,868,000","158,590,000","146,330,000","-136,511,000","32,851,000","198,743,000","195,883,000","240,870,000","206,206,000","205,855,000","205,012,000","245,739,000","192,298,000","142,887,000","132,290,000","100,893,000","-86,291,000","125,992,000","115,892,000","107,133,000","18,029,000","104,282,000","87,455,000","83,734,000","82,587,000","61,784,000","52,486,000","43,511,000","-7,721,000","19,226,000","3,966,000","4,731,000","892,000","8,252,000","8,141,000","-14,256,000","2,259,000","-2,552,000","5,808,000","-19,700,000","-3,700,000","15,900,000","-24,600,000","5,000,000","-6,600,000","3,100,000","1,600,000","-1,800,000","3,300,000","300,000","200,000","1,400,000","900,000","1,000,000","800,000","-100,000"
		OperatingGainsLosses,"266,637,000","144,000,000","-83,000,000","-44,360,000","249,997,000","321,295,000","277,793,000","-151,454,000","-179,886,000","-263,131,000","-296,946,000","-445,199,000","-377,985,000","-461,390,000","391,998,000","-26,536,000","-56,789,000","-134,812,000","-173,843,000","194,835,000","67,707,000","81,757,000","82,774,000","-46,606,000","-81,336,000","-43,788,000","-75,189,000","94,685,000","-134,912,000","-70,042,000","-32,152,000","135,191,000","102,998,000","19,823,000","-84,078,000","-1,085,000","-13,001,000","-60,098,000","-9,837,000","6,151,000","5,523,000","1,058,000","-34,206,000","-57,124,000","-81,127,000","-42,792,000","-56,102,000","7,836,000","2,119,000","-29,941,000","-22,836,000","-288,794,000","-11,545,000","-3,368,000","-15,012,000","-37,819,000","-74,985,000","-80,662,000","10,428,000","87,593,000","105,113,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,300,000",,,,"1,200,000",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"206,295,000","127,000,000","-17,000,000","-91,112,000","187,407,000","266,060,000","289,213,000","-60,054,000","11,736,000","-218,042,000","-161,007,000","-366,942,000","-282,907,000","-557,740,000","362,964,000","-51,435,000","-63,597,000","-118,844,000","-144,091,000","164,498,000","47,807,000","75,917,000","102,157,000","-30,850,000","-65,081,000","-32,400,000","-39,048,000","97,198,000","-131,908,000","-77,960,000","-35,395,000","135,317,000","88,666,000","28,202,000","-82,108,000","-10,641,000","-16,920,000","-50,404,000","-19,396,000","-11,039,000","7,382,000","-13,383,000","-57,258,000","-50,809,000","-61,950,000","-36,681,000","-44,072,000","-12,940,000","-29,615,000","-48,886,000","-22,481,000",,,,,,,,,,"106,449,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,300,000",,,,"1,200,000",,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"60,342,000","17,000,000","-66,000,000","46,752,000","62,590,000","55,235,000","-11,420,000","-91,400,000","-191,622,000","-45,089,000","-135,939,000","-78,257,000","-95,078,000","96,350,000","29,034,000","24,899,000","6,808,000","-15,968,000","-29,752,000","30,337,000","19,900,000","5,840,000","-19,383,000","-15,756,000","-16,255,000","-11,388,000","-36,141,000","-2,513,000","-3,004,000","7,918,000","3,243,000","-126,000","14,332,000","-8,379,000","-1,970,000","9,556,000","3,919,000","-9,694,000","9,559,000","17,190,000","-1,859,000","14,441,000","23,052,000","-6,315,000","-19,177,000","-6,111,000","-12,030,000","20,776,000","31,734,000","18,945,000","-355,000","-26,110,000","-11,545,000","-3,368,000","-15,012,000","-37,819,000","-74,985,000","-80,662,000","10,428,000","173,955,000","-1,336,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,"98,826,000","24,000,000","23,000,000","25,722,000","26,104,000","27,207,000","27,167,000","33,132,000","20,135,000","15,286,000","14,402,000","19,196,000","16,715,000","16,489,000","16,631,000","21,890,000","20,003,000","19,794,000","20,417,000","26,147,000","26,315,000","26,472,000","26,736,000","31,836,000","31,824,000","30,824,000","31,294,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AmortizationCashFlow,"98,826,000","24,000,000","23,000,000","25,722,000","26,104,000","27,207,000","27,167,000","33,132,000","20,135,000","15,286,000","14,402,000","19,196,000","16,715,000","16,489,000","16,631,000","21,890,000","20,003,000","19,794,000","20,417,000","26,147,000","26,315,000","26,472,000","26,736,000","31,836,000","31,824,000","30,824,000","31,294,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangibles,"98,826,000","24,000,000","23,000,000","25,722,000","26,104,000","27,207,000","27,167,000","33,132,000","20,135,000","15,286,000","14,402,000","19,196,000","16,715,000","16,489,000","16,631,000","21,890,000","20,003,000","19,794,000","20,417,000","26,147,000","26,315,000","26,472,000","26,736,000","31,836,000","31,824,000","30,824,000","31,294,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,808,000","-3,452,000","-785,000","-2,972,000","14,693,000","-864,000","1,797,000","-7,352,000","-15,724,000","1,507,000","1,496,000","3,646,000","-16,131,000","4,928,000","-13,764,000","551,000","-13,554,000","-1,961,000","-5,468,000","5,495,000","-6,832,000","3,359,000","-4,267,000","-359,000","-5,672,000","7,035,000","89,000","213,000","1,469,000","1,164,000","-8,149,000","12,371,000","-3,827,000","-1,800,000","3,000,000","-7,700,000","-4,189,000","-1,400,000","-1,100,000","-1,200,000","-1,902,000","800,000","-600,000","-500,000","-397,000","-600,000","-700,000","-200,000",
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,808,000","-3,452,000","-785,000","-2,972,000","14,693,000","-864,000","1,797,000","-7,352,000","-15,724,000","1,507,000","1,496,000","3,646,000","-16,131,000","4,928,000","-13,764,000","551,000","-13,554,000","-1,961,000","-5,468,000","5,495,000","-6,832,000","3,359,000","-4,267,000","-359,000","-5,672,000","7,035,000","89,000","213,000","1,469,000","1,164,000","-8,149,000","12,371,000","-3,827,000","-1,800,000","3,000,000","-7,700,000","-4,189,000","-1,400,000","-1,100,000","-1,200,000","-1,902,000","800,000","-600,000","-500,000","-397,000","-600,000","-700,000","-200,000",
