institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4004387,2013-09-12,Question,Business and Human Rights,40,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,CEO Compensation - Success Metrics,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Corporate Citizenship Strategy,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Employee Support Programs,74,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Employee Turnover Rate,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Fatalities,20,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Health Management,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Human Capital Performance Indicators,20,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Contractors,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Employees,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Measuring Benefits,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Near-Miss Reporting System,40,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,OHS Governance Framework,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,OHS Governance: Work-Related Risks Education,86,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,OHS Governance: Work-Related Risks Management System,84,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Occupational Diseases,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Personal and Organizational Learning and Development,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Philanthropic Contributions,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Social Reporting - Assurance,25,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Social Reporting - Coverage,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Social Reporting - Materiality,56,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Social Reporting - Quantitative Data,36,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Stakeholder Engagement Governance,55,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Stakeholder Engagement Implementation,85,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Stakeholder Engagement Review,68,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Trend of Employee Wellbeing,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Type of Performance Appraisal,40,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Type of Philanthropic Activities,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Workforce Breakdown: Gender,81,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Dimension,Economic Governance Dimension,79,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Dimension,Environmental Dimension,68,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Dimension,Social Dimension,67,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Biodiversity,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Climate Strategy,67,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Electricity Generation,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Environmental Policy & Management Systems,85,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Environmental Reporting,67,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Operational Eco-Efficiency,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Transmission & Distribution,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Water Related Risks,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Antitrust Policy,82,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Business Ethics,83,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Corporate Governance,88,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Customer Relationship Management,82,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Market Opportunities,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Price Risk Management,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Risk & Crisis Management,85,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Scorecards/Measurement Systems,85,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Supply Chain Management,65,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Water Operations,64,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Access to Water,68,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,64,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Human Capital Development,56,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Labor Practice Indicators,83,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Occupational Health & Safety,75,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Social Reporting,54,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Stakeholder Engagement,77,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Criteria,Talent Attraction & Retention,63,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,72,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Approach Towards Biodiversity: Assurance,83,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Approach Towards Biodiversity: Reporting,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Ash & Gypsum Waste,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Availability Factor of Plants,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Biodiversity Commitment,65,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,CO2 Emissions from Operations Covered under the EU Tradin,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Climate Change Governance,90,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Climate Risk Management,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Climate Strategy Impacts,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Climate-Related Management Incentives,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Coverage of Environmental Management Policy,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Direct Mercury Emissions,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Efficiency of Generation,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Electricity Generation Mix,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Electricity Transmission & Distribution Losses,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Electricity Transmission & Distribution Reliability,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Emissions Reduction Targets,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Energy Intensity,53,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Environmental Reporting - Coverage,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Environmental Reporting - Materiality,74,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Exposure of Suppliers to Water Risks,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Financial Risks of Climate Change,20,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Follow up EIA / SIA,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Frequency of Environmental Performance Reviews,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Gas Leakage Rate,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Impact of Current Operations,30,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Impact of Proposed Operations,75,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Low-Carbon Products,30,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,NOx Emissions,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Near-Miss Reporting,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Nuclear Power Plant Performance Indicators (UCF),,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Public availability of EIA/ SIA results,46,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Quantity & Quality-Related Water Risks,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Responsibility,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,SF6 Emissions,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,SOx Emissions,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Sustainability Reporting Assurance,25,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Target and Progress,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Waste Disposal,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Consumption,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Risks Management of Suppliers,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water-Related Regulatory Changes & Pricing Structure,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water-Related Stakeholder Conflicts,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Access to Medicine Strategy Reporting,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Age of Pipes,75,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Analysis of Customer Value,68,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Analysis of Risks,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Anti-Competitive Practices,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Antitrust Compliance,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Antitrust Policy,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Audit Conflict of Interest,86,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Board Effectiveness,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Board Gender Diversity,78,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Board Type,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Codes of Conduct,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Codes of Conduct: Coverage,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Corporate Governance Policy,88,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Corruption & Bribery,60,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Coverage of Antitrust Policy,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Critical Supplier Identification,95,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Current Investment Budget (Electricity & Multi-Utilities),,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Customer Feedback Process,80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Customer Satisfaction Measurement,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,DSM: Energy Efficiency,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,ESG Integration in SCM Strategy,45,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Energy Procurement Attributes,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Fuel and Electricity Contracts,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Green Electricity,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Leakage Measurement,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Leakage Rate,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Online Services (Utilities),50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Opportunities,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Peak Demand Coverage,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,R&D,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Renewable Energy Optimum,50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Reporting on breaches,50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Responsibilities and Committees,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Revenues from New Business Opportunities,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Risk Response Strategy,80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Risks Correlation,80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Scorecard: Perspectives,70,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Scorecard: Systems,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Sensitivity Analysis & Stress Testing (including Water an,80,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Supplier Risk Management Measures,31,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Supply Chain Risk Exposure,50,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Supply Chain Transparency & Reporting,10,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Trading vs Generation,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Transparency of Executive Compensation,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Meters,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Supply,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Tariffs,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Water Treatment Partnerships,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Access to Water Developed Countries,52,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Access to Water Emerging Countries,,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,0,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Business and Human Rights,40,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,CEO Compensation - Success Metrics,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Corporate Citizenship Strategy,100,179437,AWK,"American Water Works Company, Inc."
4004387,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,80,179437,AWK,"American Water Works Company, Inc."
