name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalAssets,"1,041,573,000,000","997,072,000,000","948,452,000,000","902,296,000,000","909,860,000,000","969,506,000,000","958,784,000,000","920,758,000,000","912,493,000,000","884,393,000,000","873,729,000,000","829,946,000,000","788,133,000,000","760,448,000,000","817,729,000,000","788,482,000,000","760,108,000,000","738,724,000,000","707,794,000,000","736,459,000,000","711,932,000,000","702,651,000,000","702,095,000,000","681,554,000,000","665,590,000,000","654,451,000,000","620,854,000,000","604,038,000,000","592,816,000,000","586,315,000,000","552,257,000,000","545,468,000,000","540,774,000,000","531,076,000,000","526,186,000,000","517,363,000,000","504,379,000,000","494,944,000,000","484,931,000,000","458,081,000,000","446,563,000,000","442,302,000,000","427,452,000,000","424,115,000,000","411,356,000,000","411,362,000,000","392,647,000,000","385,494,000,000","382,696,000,000","376,496,000,000","372,229,000,000","363,979,000,000","349,187,000,000","356,320,000,000","297,119,000,000","292,010,000,000","275,646,000,000","260,542,000,000","267,399,000,000","281,729,000,000","277,792,000,000","281,047,000,000","273,160,000,000","276,516,000,000","269,051,000,000","261,678,000,000","248,437,000,000","240,002,000,000","232,331,000,000","230,206,000,000","198,325,000,000","196,710,000,000","194,835,000,000","191,075,000,000","188,874,000,000","181,860,000,000","203,426,000,000","210,954,000,000","180,559,000,000","172,239,000,000","172,930,000,000","169,616,000,000","169,544,000,000","167,749,000,000","167,497,000,000","164,624,000,000","162,752,000,000","154,586,000,000","148,776,000,000","146,690,000,000","135,792,000,000","130,482,000,000","134,797,000,000","134,201,000,000","131,416,000,000","126,592,000,000","125,166,000,000","123,774,000,000","122,237,000,000","54,110,000,000","63,947,000,000","61,166,000,000","56,110,900,000","50,613,400,000","50,553,800,000","44,137,400,000","43,409,500,000","39,206,700,000","37,393,900,000","35,109,100,000","29,928,800,000","28,383,200,000","25,869,800,000","23,289,000,000","21,338,200,000","20,725,300,000","19,988,100,000","19,579,600,000","19,520,500,000","18,091,600,000","17,321,600,000","16,944,800,000","16,060,300,000","15,649,300,000","14,902,900,000","14,461,900,000","10,670,400,000","9,265,600,000","10,107,700,000","9,292,400,000"
	TotalInvestments,"524,107,000,000","504,143,000,000","477,953,000,000","451,909,000,000","462,972,000,000","518,262,000,000","463,814,000,000","445,128,000,000","466,604,000,000","423,491,000,000","428,384,000,000","419,394,000,000","372,489,000,000","328,471,000,000","365,566,000,000","327,271,000,000","332,238,000,000","332,955,000,000","307,766,000,000","313,632,000,000","270,836,000,000","268,791,000,000","301,133,000,000","273,052,000,000","282,852,000,000","203,913,000,000","190,212,000,000","172,123,000,000","176,333,000,000","185,941,000,000","194,524,000,000","193,051,000,000","189,845,000,000","186,821,000,000","190,775,000,000","189,911,000,000","189,773,000,000","190,347,000,000","188,643,000,000","176,273,000,000","179,012,000,000","161,943,000,000","152,576,000,000","151,906,000,000","149,054,000,000","152,901,000,000","139,106,000,000","135,795,000,000","132,355,000,000","134,311,000,000","126,033,000,000","132,483,000,000","127,213,000,000","136,398,000,000","140,282,000,000","137,876,000,000","125,958,000,000","109,644,000,000","116,182,000,000","124,071,000,000","122,869,000,000","124,149,000,000","118,929,000,000","119,990,000,000","114,157,000,000","102,139,000,000","102,248,000,000","95,188,000,000","93,981,000,000","92,294,000,000","94,592,000,000","91,804,000,000","89,526,000,000","87,395,000,000","88,744,000,000","80,166,000,000","105,274,000,000","112,307,000,000","87,499,000,000","84,264,000,000","86,713,000,000","94,241,000,000","101,452,000,000","102,243,000,000","74,830,000,000","98,724,000,000","100,705,000,000","90,716,000,000","86,651,000,000","86,304,000,000","82,255,000,000","82,705,000,000","86,325,000,000","87,832,000,000","85,470,000,000","82,210,000,000","82,325,000,000","70,668,000,000","69,279,000,000","36,262,000,000","48,430,000,000","51,679,000,000","47,738,200,000","42,634,600,000","42,173,400,000","35,756,900,000","35,155,800,000","32,967,400,000","31,136,600,000","28,211,200,000",,,,,,,,,,,,,,,,,,,,
		FixedMaturityInvestments,"22,353,000,000","22,566,000,000","25,128,000,000","18,602,000,000","21,136,000,000","21,718,000,000","16,434,000,000","18,125,000,000","20,460,000,000","20,027,000,000","20,410,000,000","19,435,000,000","19,210,000,000","17,923,000,000","18,685,000,000","19,172,000,000","19,962,000,000","19,415,000,000","19,898,000,000","18,271,000,000","18,524,000,000","19,920,000,000","21,353,000,000","22,228,000,000","23,381,000,000","410,000,000","408,000,000","336,000,000","360,000,000","369,000,000","411,000,000",,,,,,,,,"663,000,000","749,000,000","782,000,000","842,000,000","31,889,000,000","31,435,000,000","31,698,000,000","32,188,000,000","34,048,000,000","35,854,000,000","35,025,000,000","1,080,000,000","36,353,000,000","34,525,000,000","36,820,000,000","37,131,000,000","37,351,000,000","36,168,000,000","33,145,000,000","31,632,000,000","34,259,000,000","39,901,000,000","38,639,000,000","31,571,000,000","29,557,000,000","27,792,000,000","24,565,000,000","28,312,000,000","27,391,000,000","29,762,000,000","30,257,000,000",,"28,338,000,000","29,738,000,000","30,205,000,000","31,305,000,000","30,648,000,000","23,437,000,000","24,947,000,000","35,919,000,000","27,109,000,000","28,883,000,000","35,715,000,000",,,,"1,557,000,000","1,813,000,000","1,753,000,000","1,741,000,000","1,699,000,000","34,393,000,000","1,664,000,000","1,661,000,000","31,716,000,000","32,515,000,000","33,045,000,000","32,288,000,000","22,346,000,000","22,473,000,000","5,069,000,000","6,586,000,000","11,258,000,000","11,268,700,000","10,237,200,000","8,175,600,000","7,092,500,000","7,189,300,000","7,186,000,000","6,877,600,000","6,301,500,000",,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"353,409,000,000","328,161,000,000","308,793,000,000","306,167,000,000","327,662,000,000","390,538,000,000","350,719,000,000","310,739,000,000","307,942,000,000","282,097,000,000","281,170,000,000","245,317,000,000","207,454,000,000","180,782,000,000","248,027,000,000","220,051,000,000","200,516,000,000","191,771,000,000","172,757,000,000","201,226,000,000","174,033,000,000","166,658,000,000","164,026,000,000","151,639,000,000","135,763,000,000","133,393,000,000","120,471,000,000","100,757,000,000","102,563,000,000","104,798,000,000","110,212,000,000","109,144,000,000","116,586,000,000","114,614,000,000","116,828,000,000","117,647,000,000","118,145,000,000","117,552,000,000","116,970,000,000","104,893,000,000","101,933,000,000","95,878,000,000","86,467,000,000","87,088,000,000","85,270,000,000","87,993,000,000","76,063,000,000","67,225,000,000","66,364,000,000","61,865,000,000","59,819,000,000","55,320,000,000","52,526,000,000","58,012,000,000","56,562,000,000","55,084,000,000","45,794,000,000","37,578,000,000","49,073,000,000","76,042,000,000","69,507,000,000","72,554,000,000","74,999,000,000","77,866,000,000","73,610,000,000","65,065,000,000","61,533,000,000","55,564,000,000","52,039,000,000","49,788,000,000","46,721,000,000","45,263,000,000","41,320,000,000","38,642,000,000","37,717,000,000","35,054,000,000","36,937,000,000","36,012,000,000","35,287,000,000","31,108,000,000","31,794,000,000","27,402,000,000","28,363,000,000","27,902,000,000","31,243,000,000","31,239,000,000","28,675,000,000","27,208,000,000","29,160,000,000","30,436,000,000","37,619,000,000","36,588,000,000","35,624,000,000","34,516,000,000","39,508,000,000","34,784,000,000","38,966,000,000","39,675,000,000","39,761,000,000","31,193,000,000","41,629,000,000","40,210,000,000","36,247,700,000","32,175,500,000","33,771,200,000","28,440,700,000","27,750,600,000","25,567,900,000","24,049,800,000","21,704,400,000",,,,,,,,,,,,,,,,,,,,
		TradingAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"954,000,000","1,377,000,000","2,654,000,000",,"2,984,000,000","9,864,000,000","15,114,000,000","4,519,000,000","4,242,000,000","5,308,000,000","6,448,000,000","6,582,000,000","6,332,000,000",,"1,266,000,000","2,252,000,000","2,289,000,000","17,444,000,000","17,586,000,000","5,327,000,000","6,048,000,000","11,059,000,000","15,066,000,000","11,277,000,000","11,617,000,000","9,178,000,000","6,836,000,000","5,219,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,"23,530,000,000","23,144,000,000","23,208,000,000","22,094,000,000","21,877,000,000","21,265,000,000","20,751,000,000","20,397,000,000","19,900,000,000","19,449,000,000","19,201,000,000","18,584,000,000","18,175,000,000","17,660,000,000","17,527,000,000","17,135,000,000","16,807,000,000","16,432,000,000","16,280,000,000","14,477,000,000","14,211,000,000","13,845,000,000","13,748,000,000","13,593,000,000","14,559,000,000","13,365,000,000","13,300,000,000","13,213,000,000","13,088,000,000","12,925,000,000","12,772,000,000","12,686,000,000","12,592,000,000","12,474,000,000","12,566,000,000","12,535,000,000","12,517,000,000","12,464,000,000","12,826,000,000","12,838,000,000","12,855,000,000","12,751,000,000","12,809,000,000","13,230,000,000","13,664,000,000","13,799,000,000","13,934,000,000","14,003,000,000","14,199,000,000","14,926,000,000","15,226,000,000","15,406,000,000","15,669,000,000","15,423,000,000","13,989,000,000","13,514,000,000","13,631,000,000","13,769,000,000","13,942,000,000","13,770,000,000","13,461,000,000","12,956,000,000","12,359,000,000","11,876,000,000","11,953,000,000","11,675,000,000","11,498,000,000","11,308,000,000","11,187,000,000","11,237,000,000","11,087,000,000","11,175,000,000","10,914,000,000","9,565,000,000","9,175,000,000","5,159,000,000","4,987,000,000","4,652,000,000","4,951,000,000","5,755,000,000","3,220,000,000","3,206,000,000","3,863,000,000","4,180,000,000",,"5,302,000,000","6,262,000,000","1,608,000,000","1,872,000,000","1,839,000,000",,,,,,,,,,,"215,000,000","211,000,000","221,800,000","221,900,000","226,600,000","223,700,000","215,900,000","213,500,000","209,200,000","205,300,000",,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"23,530,000,000","23,144,000,000",,"22,094,000,000","21,877,000,000","21,265,000,000",,"20,397,000,000","19,900,000,000","19,449,000,000","19,201,000,000","18,584,000,000","18,175,000,000","17,660,000,000","17,527,000,000","17,135,000,000","16,807,000,000","16,432,000,000","16,280,000,000","14,477,000,000","14,211,000,000","13,845,000,000","13,748,000,000","13,593,000,000","14,559,000,000","13,365,000,000","13,300,000,000","13,213,000,000","13,088,000,000","12,925,000,000","12,772,000,000","12,686,000,000","12,592,000,000","12,474,000,000","12,566,000,000","12,535,000,000","12,517,000,000","12,464,000,000","12,826,000,000","12,838,000,000","12,855,000,000","12,751,000,000","12,809,000,000","13,230,000,000","13,664,000,000","13,799,000,000","13,934,000,000","14,003,000,000","14,199,000,000","14,926,000,000","15,226,000,000","15,406,000,000","15,669,000,000","15,423,000,000","13,989,000,000","13,514,000,000","13,631,000,000","13,769,000,000","13,942,000,000","13,770,000,000","13,461,000,000","12,956,000,000","12,359,000,000","11,876,000,000","11,953,000,000","11,675,000,000","11,498,000,000","11,308,000,000","11,187,000,000","11,237,000,000","11,087,000,000","11,175,000,000","10,914,000,000","9,565,000,000","9,175,000,000","5,159,000,000","4,987,000,000",,,"5,755,000,000","3,220,000,000","3,206,000,000","3,863,000,000","4,180,000,000",,"5,302,000,000","6,262,000,000","1,608,000,000","1,872,000,000","1,839,000,000",,,,,,,,,,,"215,000,000","211,000,000","221,800,000","221,900,000","226,600,000","223,700,000","215,900,000","213,500,000","209,200,000","205,300,000",,,,,,,,,,,,,,,,,,,,
		DerivativeAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"801,000,000",,,,"4,234,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SecurityAgreeToBeResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,119,000,000","16,076,000,000",,,,,,,,,"333,000,000","761,000,000","675,000,000","586,000,000","680,000,000","1,955,000,000","2,617,000,000","2,502,000,000","1,171,000,000","1,786,000,000","1,020,000,000","1,159,000,000","1,083,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"27,493,000,000","26,403,000,000","28,050,000,000","28,714,000,000","17,494,000,000","17,596,000,000","17,375,000,000","16,658,000,000","16,542,000,000","16,533,000,000","17,303,000,000","17,152,000,000","17,132,000,000","17,483,000,000","17,505,000,000","17,535,000,000","17,208,000,000","17,308,000,000","17,325,000,000","17,453,000,000","17,530,000,000","17,687,000,000","17,635,000,000","15,695,000,000","15,584,000,000","15,431,000,000","15,345,000,000","15,711,000,000","15,752,000,000","23,520,000,000","23,424,000,000","23,526,000,000","11,455,000,000","11,493,000,000","11,660,000,000","11,830,000,000","12,016,000,000","12,087,000,000","12,111,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4,125,000,000","4,075,000,000","4,033,000,000","4,069,000,000","3,967,000,000","3,779,000,000","4,067,000,000","4,037,000,000","3,899,000,000","3,760,000,000","3,816,000,000","3,741,000,000","3,651,000,000","3,816,000,000","2,723,000,000","2,569,000,000","1,826,000,000","1,827,000,000","1,771,000,000","1,699,000,000","1,719,000,000","1,685,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"27,493,000,000","26,403,000,000","28,050,000,000","28,714,000,000","17,494,000,000","17,596,000,000","17,375,000,000","16,658,000,000","16,542,000,000","16,533,000,000","17,303,000,000","17,152,000,000","17,132,000,000","17,483,000,000","17,505,000,000","17,535,000,000","17,208,000,000","17,308,000,000","17,325,000,000","17,453,000,000","17,530,000,000","17,687,000,000","17,635,000,000","15,695,000,000","15,584,000,000","15,431,000,000","15,345,000,000","15,711,000,000","15,752,000,000","23,520,000,000","23,424,000,000","23,526,000,000","11,455,000,000","11,493,000,000","11,660,000,000","11,830,000,000","12,016,000,000","12,087,000,000","12,111,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4,125,000,000","4,075,000,000","4,033,000,000","4,069,000,000","3,967,000,000","3,779,000,000","4,067,000,000","4,037,000,000","3,899,000,000","3,760,000,000","3,816,000,000","3,741,000,000","3,651,000,000","3,816,000,000","2,723,000,000","2,569,000,000","1,826,000,000","1,827,000,000","1,771,000,000","1,699,000,000","1,719,000,000","1,685,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"97,322,000,000","103,869,000,000","92,774,000,000","76,332,000,000","74,803,000,000","67,145,000,000","58,535,000,000","79,209,000,000","101,760,000,000","85,385,000,000","90,300,000,000","118,906,000,000","110,518,000,000","94,623,000,000","63,822,000,000","53,378,000,000","77,745,000,000","88,029,000,000","81,506,000,000","62,205,000,000","46,538,000,000","50,681,000,000","84,371,000,000","66,594,000,000","73,331,000,000","22,902,000,000","23,432,000,000","24,613,000,000","23,744,000,000","24,519,000,000","25,988,000,000","27,119,000,000","27,224,000,000","27,366,000,000","27,397,000,000","28,721,000,000","29,175,000,000","29,101,000,000","28,785,000,000","28,872,000,000","28,756,000,000","30,601,000,000","31,449,000,000",,,,,,,,"33,803,000,000",,,,,,,,,,,,,,,,,,,,"30,855,000,000",,,,,,"7,493,000,000","8,465,000,000",,"8,551,000,000","9,752,000,000","13,963,000,000","54,949,000,000","55,629,000,000","38,725,000,000","54,804,000,000","57,570,000,000","53,280,000,000","32,064,000,000","30,888,000,000","880,000,000","33,028,000,000","32,335,000,000","1,053,000,000","999,000,000","978,000,000","873,000,000","652,000,000","743,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"97,322,000,000","103,869,000,000","92,774,000,000","76,332,000,000","74,803,000,000","67,145,000,000","58,535,000,000","79,209,000,000","101,760,000,000","85,385,000,000","90,300,000,000","118,906,000,000","110,518,000,000","94,623,000,000","63,822,000,000","53,378,000,000","77,745,000,000","88,029,000,000","81,506,000,000","62,205,000,000","46,538,000,000","50,681,000,000","84,371,000,000","66,594,000,000","73,331,000,000","22,902,000,000","23,432,000,000","24,613,000,000","23,744,000,000","24,519,000,000","25,988,000,000","27,119,000,000","27,224,000,000","27,366,000,000","27,397,000,000","28,721,000,000","29,175,000,000","29,101,000,000","28,785,000,000","28,872,000,000","28,756,000,000","30,601,000,000","31,449,000,000",,,,,,,,"33,803,000,000",,,,,,,,,,,,,,,,,,,,"30,855,000,000",,,,,,"7,493,000,000","8,465,000,000",,"8,551,000,000","9,752,000,000","13,963,000,000","54,949,000,000","55,629,000,000","38,725,000,000","54,804,000,000","57,570,000,000","53,280,000,000","32,064,000,000","30,888,000,000","880,000,000","33,028,000,000","32,335,000,000","1,053,000,000","999,000,000","978,000,000","873,000,000","652,000,000","743,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,,,,,,,,,,,,,,,,,,,,,,,,"3,303,000,000","20,234,000,000","18,412,000,000","17,256,000,000","17,493,000,000","20,826,000,000","19,810,000,000","21,717,000,000","20,576,000,000","21,988,000,000","20,874,000,000","22,324,000,000","19,178,000,000","17,920,000,000","19,143,000,000","17,951,000,000","29,007,000,000","34,719,000,000","21,931,000,000","21,009,000,000","19,699,000,000","18,685,000,000","19,411,000,000","16,921,000,000","20,519,000,000","15,938,000,000","22,495,000,000","16,105,000,000","25,404,000,000","24,493,000,000","26,143,000,000","32,600,000,000","31,927,000,000","30,365,000,000","25,152,000,000","21,535,000,000",,,,,"691,000,000","802,000,000","834,000,000","905,000,000","925,000,000","993,000,000","1,012,000,000","1,003,000,000","1,999,000,000","2,144,000,000","2,260,000,000","2,346,000,000","2,542,000,000","2,370,000,000","3,004,000,000","2,924,000,000","3,739,000,000","3,940,000,000","3,766,000,000","4,044,000,000","4,384,000,000","2,139,000,000","1,987,000,000","1,974,000,000","1,990,000,000","1,924,000,000","1,571,000,000","1,637,000,000","1,737,000,000","3,029,000,000","2,979,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"50,055,000,000","26,747,000,000","35,811,000,000","32,626,000,000","30,608,000,000","39,113,000,000","88,184,000,000","69,989,000,000","42,298,000,000","60,054,000,000","47,990,000,000","26,817,000,000","36,074,000,000","42,640,000,000","64,175,000,000","74,776,000,000","44,634,000,000","26,139,000,000","30,361,000,000","41,438,000,000","64,561,000,000","57,881,000,000","31,583,000,000","42,706,000,000","26,418,000,000","96,464,000,000","86,370,000,000","84,835,000,000","72,679,000,000","58,342,000,000","71,730,000,000","66,260,000,000","66,587,000,000","63,711,000,000","63,269,000,000","62,380,000,000","55,455,000,000","48,948,000,000","48,186,000,000","42,079,000,000","35,695,000,000","49,089,000,000","46,992,000,000","47,776,000,000","40,661,000,000","37,826,000,000","37,299,000,000","34,776,000,000","47,891,000,000","41,178,000,000","38,227,000,000","34,461,000,000","27,953,000,000","25,670,000,000","30,558,000,000","26,919,000,000","24,511,000,000","25,551,000,000","25,539,000,000","33,369,000,000","31,159,000,000","35,566,000,000","44,329,000,000","47,083,000,000","46,950,000,000","46,027,000,000","43,743,000,000","42,249,000,000","42,069,000,000","42,858,000,000","44,660,000,000","46,032,000,000","47,762,000,000","46,709,000,000","43,427,000,000","43,017,000,000","40,201,000,000","40,911,000,000","35,957,000,000","30,745,000,000","28,444,000,000","19,492,000,000","12,748,000,000","10,438,000,000","7,260,000,000","8,545,000,000","6,498,000,000","6,361,000,000","8,211,000,000","6,440,000,000","5,604,000,000","3,673,000,000","3,213,000,000","3,424,000,000","4,458,000,000","5,564,000,000","4,418,000,000","15,506,000,000","14,489,000,000","6,892,000,000","7,140,000,000","1,065,000,000","1,058,500,000","536,500,000","1,067,300,000","1,129,900,000","1,350,300,000","818,900,000","891,100,000","1,459,100,000","2,744,500,000","1,900,000,000","1,003,200,000","168,500,000","289,900,000","185,800,000","296,500,000","1,318,500,000","1,838,100,000","1,383,800,000","1,049,700,000","1,192,400,000","831,400,000","542,700,000","612,000,000","762,000,000","247,000,000","178,600,000","240,400,000","118,600,000"
	RestrictedCashAndCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"487,000,000","635,000,000","700,000,000","948,000,000","1,649,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,706,000,000","2,894,000,000","2,899,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	Receivables,"51,657,000,000","52,488,000,000","48,301,000,000","45,368,000,000","44,493,000,000","43,055,000,000","39,565,000,000","41,601,000,000","40,273,000,000","39,052,000,000","35,852,000,000","37,815,000,000","36,766,000,000","37,957,000,000","35,835,000,000","38,152,000,000","37,582,000,000","37,170,000,000","35,230,000,000","31,884,000,000","31,280,000,000","30,906,000,000","28,578,000,000","29,652,000,000","28,953,000,000","28,870,000,000","27,097,000,000","27,544,000,000","27,162,000,000","27,190,000,000","23,303,000,000","24,484,000,000","24,606,000,000","24,006,000,000","21,852,000,000","24,017,000,000","22,997,000,000","22,717,000,000","20,497,000,000","27,145,000,000","21,956,000,000","23,470,000,000","21,753,000,000","21,327,000,000","21,192,000,000","21,366,000,000","19,012,000,000","19,834,000,000","19,396,000,000","19,577,000,000","20,917,000,000","18,079,000,000","17,407,000,000","17,799,000,000","14,792,000,000","16,047,000,000","15,778,000,000","15,951,000,000","14,925,000,000","16,131,000,000","16,547,000,000","15,505,000,000","13,157,000,000","14,171,000,000","14,095,000,000","20,336,000,000","12,881,000,000","13,621,000,000","13,520,000,000","13,097,000,000","12,397,000,000","13,104,000,000","12,483,000,000","12,256,000,000","11,291,000,000","11,721,000,000","11,862,000,000","12,706,000,000","12,314,000,000","12,617,000,000","13,337,000,000","13,405,000,000","13,175,000,000","14,393,000,000","12,623,000,000","11,374,000,000","11,926,000,000","11,858,000,000","11,789,000,000","11,553,000,000","11,764,000,000","9,238,000,000","10,074,000,000","8,427,000,000","8,558,000,000","7,207,000,000","8,058,000,000","7,514,000,000","7,224,000,000","1,900,000,000","1,735,000,000","1,803,000,000","1,711,500,000","1,696,500,000","1,716,200,000","1,857,200,000","1,523,200,000","1,476,200,000","1,441,700,000","1,481,300,000","718,900,000",,"902,700,000","836,300,000","580,600,000","655,400,000","807,900,000","926,800,000","525,300,000","668,500,000","712,100,000","690,600,000","842,300,000","811,700,000","866,900,000","904,500,000","705,600,000","509,600,000","552,000,000","545,300,000"
		AccountsReceivable,"5,228,000,000","5,855,000,000","4,795,000,000","41,418,000,000","40,905,000,000","39,163,000,000","37,098,000,000","38,402,000,000","37,153,000,000","36,807,000,000","33,586,000,000","33,321,000,000","32,619,000,000","33,071,000,000","31,629,000,000","33,311,000,000","33,539,000,000","33,124,000,000","31,562,000,000","29,143,000,000","28,572,000,000","28,186,000,000","28,940,000,000","30,014,000,000","29,289,000,000","29,187,000,000","27,430,000,000","27,889,000,000","27,504,000,000","27,517,000,000","23,671,000,000","24,812,000,000","24,929,000,000","24,309,000,000","22,163,000,000","24,370,000,000","23,348,000,000","23,069,000,000","20,857,000,000","27,524,000,000","22,337,000,000","23,848,000,000","22,139,000,000","21,327,000,000","21,192,000,000","21,366,000,000","19,012,000,000","19,834,000,000","19,396,000,000","19,577,000,000","21,300,000,000","18,079,000,000","17,407,000,000","17,799,000,000","14,792,000,000","16,047,000,000","15,778,000,000","15,951,000,000","14,925,000,000","16,131,000,000","16,547,000,000","15,505,000,000","13,157,000,000","14,171,000,000","14,095,000,000","20,336,000,000","12,881,000,000","13,621,000,000","13,520,000,000","13,097,000,000","12,736,000,000","13,104,000,000","12,483,000,000","12,256,000,000","11,291,000,000","11,721,000,000","11,862,000,000","12,706,000,000","12,755,000,000","12,617,000,000","13,337,000,000","13,405,000,000","13,175,000,000","14,393,000,000","12,623,000,000","11,374,000,000","11,926,000,000","11,858,000,000","11,789,000,000","11,553,000,000","11,764,000,000","9,238,000,000","10,074,000,000","8,427,000,000","8,558,000,000","7,207,000,000","8,058,000,000","7,514,000,000","7,224,000,000","1,900,000,000","1,735,000,000","1,803,000,000","1,711,500,000","1,696,500,000","1,716,200,000","1,857,200,000","1,523,200,000","1,476,200,000","1,441,700,000","1,481,300,000",,,,,,,,,,,,,,,,"904,500,000",,,,
		NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,755,000,000","3,220,000,000","3,206,000,000",,"4,180,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherReceivables,"46,588,000,000","46,786,000,000","43,506,000,000","4,816,000,000","4,437,000,000","4,718,000,000","3,146,000,000","4,064,000,000","3,968,000,000","2,905,000,000","3,075,000,000","5,221,000,000","4,995,000,000","5,575,000,000","4,715,000,000","5,355,000,000","4,544,000,000","4,542,000,000","4,185,000,000","3,121,000,000","3,074,000,000","3,078,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,337,000,000",,,"14,393,000,000","12,623,000,000","11,374,000,000","11,926,000,000","11,858,000,000",,,"11,764,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
