name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"31,352,000,000","30,474,000,000","29,736,000,000","28,199,000,000","29,192,000,000","30,250,000,000","31,387,000,000","29,907,000,000","29,677,000,000","28,313,000,000","27,542,000,000","26,370,000,000","25,450,000,000","23,367,000,000","25,408,000,000","24,742,000,000","24,337,000,000","23,352,000,000","21,935,000,000","22,480,000,000","21,760,000,000","21,470,000,000","21,843,000,000","21,592,000,000","21,238,000,000","20,753,000,000","20,386,000,000","20,455,000,000","20,151,000,000","19,447,000,000","18,888,000,000","18,751,000,000","18,888,000,000","18,897,000,000","18,753,000,000","18,474,000,000","18,335,000,000","17,942,000,000","17,662,000,000","17,339,000,000","17,034,000,000","17,037,000,000","16,548,000,000","16,479,000,000","16,089,000,000","16,022,000,000","15,668,000,000","15,412,000,000","15,702,000,000","15,369,000,000","15,095,000,000","15,070,000,000","14,607,000,000","14,616,000,000","14,440,000,000","14,226,000,000","13,522,000,000","13,108,000,000","13,369,000,000","14,303,000,000","14,811,000,000","15,945,000,000","16,637,000,000","17,622,000,000","18,264,000,000","18,221,000,000","17,222,000,000","17,671,000,000","16,936,000,000","16,763,000,000","16,003,000,000","15,984,000,000","16,024,000,000","15,798,000,000","16,107,000,000","15,806,000,000","15,530,000,000","15,738,000,000","15,509,000,000","14,958,000,000","14,930,000,000","13,553,000,000","14,059,000,000","13,684,000,000","14,533,000,000","14,742,000,000","13,959,000,000","13,558,917,000","13,557,676,000","12,695,248,000","13,287,091,000","11,789,235,000","10,701,468,000","10,563,908,000","11,380,214,000","10,405,500,000","11,063,500,000","10,855,200,000","11,086,503,000","9,939,000,000","10,484,000,000","10,060,700,000","9,493,425,000","8,640,700,000","7,979,000,000","7,480,500,000","7,045,514,000","6,652,200,000","6,406,000,000","6,412,800,000","6,109,298,000","5,656,700,000","5,367,100,000","5,056,600,000","4,734,279,000","4,777,400,000","4,632,200,000","4,579,600,000","4,602,300,000","4,563,900,000","4,404,400,000","4,292,600,000","4,028,400,000","3,857,900,000","3,645,100,000","3,534,000,000","3,436,000,000","3,240,500,000","3,015,300,000","2,855,000,000","2,589,600,000","2,424,700,000","2,507,000,000","2,507,300,000","2,552,000,000","2,520,800,000","2,330,800,000","2,117,400,000","1,792,500,000","1,552,700,000","1,255,000,000"
	TotalInvestments,"23,879,000,000","23,123,000,000","22,425,000,000","20,988,000,000","21,834,000,000","23,399,000,000","24,666,000,000","23,213,000,000","23,061,000,000","22,018,000,000","21,542,000,000","20,299,000,000","19,487,000,000","17,876,000,000","19,746,000,000","19,059,000,000","18,603,000,000","17,864,000,000","16,732,000,000","17,433,000,000","16,944,000,000","16,721,000,000","17,051,000,000","16,664,000,000","16,394,000,000","16,067,000,000","15,500,000,000","15,642,000,000","15,459,000,000","14,889,000,000","14,423,000,000","14,426,000,000","14,551,000,000","14,476,000,000","14,386,000,000","14,255,000,000","14,060,000,000","13,678,000,000","13,564,000,000","13,090,000,000","12,933,000,000","13,037,000,000","12,534,000,000","12,533,000,000","12,231,000,000","12,153,000,000","11,801,000,000","11,529,000,000","11,757,000,000","11,704,000,000","11,508,000,000","11,305,000,000","11,032,000,000","11,002,000,000","10,643,000,000","10,428,000,000","9,708,000,000","8,876,000,000","8,890,000,000","10,160,000,000","10,460,000,000","11,704,000,000","12,261,000,000","13,268,000,000","13,712,000,000","13,641,000,000","13,759,000,000","13,104,000,000","12,514,000,000","12,977,000,000","12,657,000,000","12,548,000,000","12,560,000,000","12,430,000,000","12,677,000,000","12,242,000,000","12,117,000,000","12,509,000,000","12,527,000,000","11,774,000,000","11,889,000,000","10,685,000,000","11,257,000,000","11,041,000,000","11,940,000,000","12,295,000,000","11,571,000,000","11,435,663,000","11,502,998,000","10,691,509,000","11,315,836,000","10,513,209,000","9,429,205,000","9,641,484,000","10,194,239,000",,,,"10,324,950,000",,,,"8,797,050,000",,,,"6,354,989,000",,,,"5,528,559,000",,,,"4,212,179,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		FixedMaturityInvestments,"12,870,000,000","12,678,000,000","12,132,000,000","11,734,000,000","11,933,000,000","12,376,000,000","13,022,000,000","12,908,000,000","12,789,000,000","12,308,000,000","12,338,000,000","12,157,000,000","11,911,000,000","11,340,000,000","11,698,000,000","11,600,000,000","11,320,000,000","11,022,000,000","10,689,000,000","10,660,000,000","10,636,000,000","10,528,000,000","10,699,000,000","10,540,000,000","10,502,000,000","10,301,000,000","10,085,000,000","10,257,000,000","10,138,000,000","9,884,000,000","9,650,000,000","9,756,000,000","9,675,000,000","9,596,000,000","9,460,000,000","9,522,000,000","9,383,000,000","9,180,000,000","9,169,000,000","9,038,000,000","8,992,000,000","9,169,000,000","9,093,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"10,502,000,000","9,967,000,000","9,841,000,000","8,840,000,000","9,510,000,000","10,675,000,000","11,315,000,000","9,887,000,000","9,897,000,000","9,360,000,000","8,856,000,000","7,867,000,000","7,317,000,000","6,225,000,000","7,752,000,000","7,176,000,000","7,012,000,000","6,571,000,000","5,920,000,000","6,663,000,000","6,200,000,000","6,086,000,000","6,249,000,000","6,025,000,000","5,799,000,000","5,676,000,000","5,334,000,000","5,304,000,000","5,242,000,000","4,941,000,000","4,706,000,000","4,526,000,000","4,734,000,000","4,789,000,000","4,858,000,000","4,666,000,000","4,605,000,000","4,426,000,000","4,327,000,000","3,984,000,000","3,875,000,000","3,801,000,000","3,373,000,000","12,465,000,000","12,164,000,000","12,087,000,000","11,735,000,000","11,463,000,000","11,688,000,000","11,636,000,000","11,424,000,000","11,223,000,000","10,950,000,000","10,919,000,000","10,556,000,000","10,337,000,000","9,619,000,000","8,781,000,000","8,723,000,000","9,866,000,000","10,379,000,000","11,594,000,000","12,097,000,000","13,164,000,000","13,541,000,000","13,551,000,000","1,604,000,000","13,046,000,000","12,459,000,000","12,637,000,000","12,582,000,000","12,548,000,000","12,560,000,000","12,430,000,000","12,639,000,000","12,204,000,000","12,082,000,000","12,474,000,000","12,449,000,000","11,703,000,000","11,822,000,000","10,617,000,000","11,189,000,000","10,972,000,000","11,872,000,000","12,228,000,000","11,505,000,000","11,369,667,000","11,436,555,000","10,623,081,000","11,247,276,000","10,444,891,000","9,360,397,000","9,573,357,000","10,128,330,000",,,,"10,267,048,000",,,,"8,750,490,000",,,,"6,301,985,000",,,,"5,488,757,000",,,,"4,173,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000,000","75,000,000","25,000,000",,,,,,,,,,,,,,,,,"0","0","0","0","6,000,000","12,000,000","12,000,000","13,000,000","84,000,000","212,000,000","0","51,000,000","101,000,000","37,000,000","101,000,000","19,000,000","95,000,000","0","0","288,000,000","75,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"507,000,000","478,000,000","452,000,000","414,000,000","391,000,000","348,000,000","329,000,000","418,000,000","375,000,000","350,000,000","348,000,000","275,000,000","259,000,000","311,000,000","296,000,000","19,059,000,000","271,000,000","271,000,000","123,000,000","110,000,000","108,000,000","16,721,000,000","103,000,000","99,000,000","93,000,000","90,000,000","81,000,000","81,000,000","79,000,000","64,000,000","67,000,000","69,000,000","67,000,000","66,000,000","68,000,000","67,000,000","72,000,000","72,000,000","68,000,000","68,000,000","66,000,000","67,000,000","68,000,000","68,000,000","67,000,000","66,000,000","66,000,000","66,000,000","69,000,000","68,000,000","84,000,000","82,000,000","11,032,000,000","83,000,000","81,000,000","79,000,000","9,708,000,000","82,000,000","83,000,000","10,160,000,000","81,000,000","59,000,000","63,000,000","67,000,000","70,000,000","71,000,000","12,060,000,000","58,000,000","55,000,000","52,000,000",,,,,"38,000,000","38,000,000","35,000,000","35,000,000","78,000,000","71,000,000","67,000,000","68,000,000","68,000,000","69,000,000","68,000,000","67,000,000","66,000,000","65,996,000","66,443,000","68,428,000","68,560,000","68,318,000","68,808,000","68,127,000","65,909,000",,,,"57,902,000",,,,"46,560,000",,,,"53,004,000",,,,"39,802,000",,,,"38,816,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"748,000,000","955,000,000","1,264,000,000","1,083,000,000","1,098,000,000","987,000,000","1,139,000,000","1,085,000,000","1,003,000,000","947,000,000","900,000,000","914,000,000","706,000,000","486,000,000","767,000,000","787,000,000","803,000,000","802,000,000","784,000,000","616,000,000","521,000,000","604,000,000","657,000,000","674,000,000","606,000,000","543,000,000","777,000,000","700,000,000","547,000,000","613,000,000","544,000,000","419,000,000","487,000,000","640,000,000","591,000,000","412,000,000","462,000,000","521,000,000","433,000,000","511,000,000","382,000,000","380,000,000","487,000,000","416,000,000","263,000,000","424,000,000","438,000,000","308,000,000","313,000,000","379,000,000","385,000,000","445,000,000","325,000,000","402,000,000","557,000,000","448,000,000","254,000,000","515,000,000","1,009,000,000","347,000,000","333,000,000","237,000,000","226,000,000","183,000,000","122,000,000","197,000,000","202,000,000","239,000,000","203,000,000","206,000,000","119,000,000","98,000,000","172,000,000","117,000,000","306,000,000","311,000,000","285,000,000","162,000,000","91,000,000","220,000,000","103,000,000","128,000,000","112,000,000","171,000,000","121,000,000","81,000,000","93,000,000","137,225,000","42,894,000","67,279,000","60,254,000","23,868,000","37,247,000","54,473,000","339,554,000",,,,"58,611,000",,,,"80,168,000",,,,"59,933,000",,,,"20,019,000",,,,"48,254,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"589,000,000","575,000,000","602,000,000","622,000,000","714,000,000","753,000,000","573,000,000","572,000,000","554,000,000","543,000,000","570,000,000","675,000,000","707,000,000","730,000,000","735,000,000","759,000,000","846,000,000","777,000,000","757,000,000","754,000,000","745,000,000","751,000,000","727,000,000","683,000,000","701,000,000","691,000,000","683,000,000",,,,,"680,000,000","739,000,000","655,000,000","639,000,000","617,000,000","612,000,000","640,000,000","535,000,000","527,000,000","485,000,000","514,000,000","508,000,000","515,000,000","232,697,000","271,117,000","281,764,000","214,576,000","198,701,000","193,826,000","173,922,000","159,229,000",,,,"135,991,000",,,,"109,110,000",,,,"115,906,000",,,,"103,683,000",,,,"67,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	Receivables,"3,704,000,000","3,461,000,000","3,214,000,000","3,203,000,000","3,243,000,000","3,043,000,000","2,865,000,000","2,894,000,000","2,959,000,000","2,792,000,000","2,627,000,000","2,675,000,000","2,796,000,000","2,667,000,000","2,597,000,000","2,363,000,000","2,634,000,000","2,512,000,000","2,331,000,000","2,331,000,000","2,349,000,000","2,049,000,000","2,216,000,000","2,346,000,000","2,367,000,000","2,305,000,000","2,263,000,000","2,244,000,000","2,270,000,000","2,181,000,000","2,164,000,000","2,230,000,000","2,234,000,000","2,165,000,000","2,148,000,000","2,192,000,000","2,184,000,000","2,141,000,000","2,099,000,000","2,171,000,000","2,127,000,000","2,104,000,000","2,019,000,000","1,323,000,000","1,288,000,000","1,202,000,000","1,163,000,000","1,299,000,000","1,301,000,000","1,255,000,000","1,088,000,000","1,106,000,000","1,055,000,000","1,106,000,000","1,070,000,000","1,120,000,000","1,075,000,000","1,156,000,000","1,130,000,000","1,103,000,000","1,230,000,000","1,197,000,000","1,199,000,000","1,258,000,000","1,317,000,000","1,276,000,000","1,236,000,000","1,272,000,000","1,298,000,000","1,258,000,000","2,019,000,000","2,088,000,000","2,084,000,000","2,062,000,000","1,214,000,000","1,250,000,000","1,242,000,000","1,219,000,000","1,099,000,000","1,118,000,000","1,098,000,000","1,030,000,000","989,000,000","883,000,000","859,000,000","815,000,000","759,000,000","739,519,000","733,714,000","687,505,000","683,058,000","256,251,000","226,883,000","216,759,000","199,516,000","182,300,000","175,900,000","167,000,000","196,519,000","172,000,000","172,900,000","160,500,000","190,254,000","162,900,000","163,400,000","159,200,000","188,909,000","154,500,000","173,900,000","162,600,000","181,399,000","161,800,000","145,500,000","141,200,000","158,141,000","138,500,000","138,700,000","131,500,000","134,400,000","133,900,000",,"183,300,000",,,,,,,,,,,,,,,,,,,
		AccountsReceivable,"3,443,000,000","3,207,000,000","2,962,000,000","2,964,000,000","3,015,000,000","2,804,000,000","2,623,000,000","2,654,000,000","2,721,000,000","2,559,000,000","2,396,000,000","2,458,000,000","2,579,000,000","2,467,000,000","2,387,000,000","2,363,000,000","2,428,000,000","2,312,000,000","2,128,000,000","2,133,000,000","2,153,000,000","2,049,000,000","2,021,000,000","2,162,000,000","2,183,000,000","2,132,000,000","2,078,000,000","2,070,000,000","2,086,000,000","2,000,000,000","1,973,000,000","2,046,000,000","2,044,000,000","1,972,000,000","1,950,000,000","1,996,000,000","1,988,000,000","1,942,000,000","1,893,000,000","1,977,000,000","1,932,000,000","1,911,000,000","1,829,000,000","1,247,000,000","1,210,000,000","1,126,000,000","1,087,000,000","1,107,000,000","1,106,000,000","1,062,000,000","1,015,000,000","1,035,000,000","1,055,000,000","1,031,000,000","995,000,000","1,046,000,000","1,075,000,000","1,085,000,000","1,059,000,000","1,103,000,000","1,150,000,000","1,113,000,000","1,107,000,000","1,161,000,000","1,217,000,000","1,173,000,000","1,128,000,000","1,166,000,000","1,192,000,000","1,152,000,000",,,,,"1,119,000,000","1,154,000,000","1,149,000,000","1,132,000,000","1,060,000,000","1,081,000,000","1,062,000,000","996,000,000","956,000,000","850,000,000","828,000,000","785,000,000","732,000,000","710,748,000","704,157,000","657,693,000","652,340,000","225,743,000","195,260,000","184,693,000","166,585,000","182,300,000","175,900,000","167,000,000","164,412,000","172,000,000","172,900,000","160,500,000","158,539,000","162,900,000","163,400,000","159,200,000","162,045,000","154,500,000","173,900,000","162,600,000","161,117,000","161,800,000","145,500,000","141,200,000","141,972,000","138,500,000","138,700,000","131,500,000","134,400,000","133,900,000",,"183,300,000",,,,,,,,,,,,,,,,,,,
		OtherReceivables,"261,000,000","254,000,000","252,000,000","239,000,000","228,000,000","239,000,000","242,000,000","240,000,000","238,000,000","233,000,000","231,000,000","217,000,000","217,000,000","200,000,000","210,000,000","203,000,000","206,000,000","200,000,000","203,000,000","198,000,000","196,000,000","185,000,000","195,000,000","184,000,000","184,000,000","173,000,000","185,000,000","174,000,000","184,000,000","181,000,000","191,000,000","184,000,000","190,000,000","193,000,000","198,000,000","196,000,000","196,000,000","199,000,000","206,000,000","194,000,000","195,000,000","193,000,000","190,000,000","76,000,000","78,000,000","76,000,000","76,000,000","192,000,000","195,000,000","193,000,000","73,000,000","71,000,000","72,000,000","75,000,000","75,000,000","74,000,000","74,000,000","71,000,000","71,000,000","74,000,000","80,000,000","84,000,000","92,000,000","97,000,000","100,000,000","103,000,000","108,000,000","106,000,000","106,000,000","106,000,000",,,,,"95,000,000","96,000,000","93,000,000","87,000,000","39,000,000","37,000,000","36,000,000","34,000,000","33,000,000","33,000,000","31,000,000","30,000,000","27,000,000","28,771,000","29,557,000","29,812,000","30,718,000","30,508,000","31,623,000","32,066,000","32,931,000",,,,"32,107,000",,,,"31,715,000",,,,"26,864,000",,,,"20,282,000",,,,"16,169,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	AccruedInvestmentIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,000,000","118,000,000","116,000,000","119,000,000",,,,"119,000,000","114,000,000","120,000,000","116,000,000","118,000,000","109,000,000","111,000,000","98,000,000","98,000,000","96,000,000","109,000,000","118,000,000","124,000,000","123,000,000","124,000,000","117,000,000","121,000,000","115,000,000","118,000,000","111,000,000",,,,,"107,000,000","98,000,000","102,000,000","95,000,000","99,000,000","92,000,000","100,000,000","91,000,000","98,000,000","92,000,000","94,000,000","91,000,000","93,000,000","88,017,000","91,154,000","86,059,000","86,234,000","84,265,000","84,208,000","86,146,000","80,128,000",,,,"76,773,000",,,,"74,520,000","73,300,000",,,"70,446,000",,,,"65,045,000",,,,"56,069,000",,,,,,,,"47,000,000","47,600,000","45,700,000",,"42,900,000","43,100,000","44,600,000","41,400,000","38,300,000","40,600,000","38,800,000","37,700,000","36,300,000","35,700,000","34,600,000",,,,
	PrepaidAssets,"95,000,000","57,000,000","79,000,000","91,000,000","113,000,000","79,000,000","78,000,000","87,000,000","105,000,000","68,000,000","65,000,000","73,000,000","91,000,000","57,000,000","54,000,000","60,000,000","70,000,000","50,000,000","44,000,000","44,000,000","39,000,000","39,000,000","42,000,000","44,000,000","48,000,000","52,000,000","62,000,000","68,000,000","73,000,000","50,000,000","54,000,000","29,000,000","28,000,000","29,000,000","29,000,000","28,000,000","26,000,000","27,000,000","26,000,000","26,000,000","26,000,000","26,000,000","26,000,000","26,000,000","24,000,000","24,000,000","24,000,000","15,000,000","15,000,000","16,000,000","18,000,000","17,000,000","16,000,000","16,000,000","15,000,000","14,000,000","14,000,000","15,000,000","15,000,000","13,000,000","12,000,000","13,000,000","13,000,000","12,000,000","12,000,000","12,000,000","13,000,000","13,000,000","13,000,000","12,000,000","14,000,000","14,000,000","15,000,000","15,000,000","15,000,000","14,000,000","14,000,000","14,000,000","13,000,000","16,000,000","25,000,000","39,000,000","47,000,000",,"45,000,000","38,000,000","28,000,000","18,830,000","19,082,000","19,225,000","15,246,000","26,262,000","24,497,000","24,113,000","24,684,000",,,,"26,435,000",,,,"23,612,000",,,,"22,924,000",,,,"21,835,000",,,,"24,066,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	DeferredPolicyAcquisitionCosts,"1,109,000,000","1,048,000,000","1,014,000,000","1,036,000,000","1,045,000,000","979,000,000","905,000,000","915,000,000","924,000,000","880,000,000","805,000,000","817,000,000","834,000,000","827,000,000","774,000,000","783,000,000","786,000,000","751,000,000","738,000,000","743,000,000","728,000,000","691,000,000","670,000,000","676,000,000","678,000,000","660,000,000","637,000,000","627,000,000","624,000,000","618,000,000","616,000,000","609,000,000","600,000,000","571,000,000","578,000,000","590,000,000","571,000,000","564,000,000","565,000,000","576,000,000","546,000,000","491,000,000","470,000,000","491,000,000","484,000,000","483,000,000","510,000,000","512,000,000","511,000,000","503,000,000","488,000,000","469,000,000","485,000,000","485,000,000","481,000,000","485,000,000","500,000,000","510,000,000","509,000,000","501,000,000","487,000,000","472,000,000","461,000,000","471,000,000","479,000,000","467,000,000","453,000,000","458,000,000","460,000,000","448,000,000","429,000,000","431,000,000","421,000,000","418,000,000","400,000,000","396,000,000","397,000,000","379,000,000","372,000,000","386,000,000","375,000,000","357,000,000","343,000,000","318,000,000","309,000,000","299,000,000","286,000,000","280,721,000","274,901,000","266,257,000","258,734,000","168,142,000","161,389,000","155,836,000","154,385,000","148,400,000","143,800,000","143,000,000","142,896,000","139,900,000","137,500,000","135,300,000","135,313,000","133,200,000","130,000,000","127,800,000","127,588,000","124,900,000","122,300,000","119,900,000","119,589,000","118,100,000","113,600,000","110,500,000","109,503,000","108,600,000","105,100,000","104,200,000","104,100,000","107,900,000","104,400,000","99,700,000","97,300,000","96,900,000","95,300,000","94,000,000","93,600,000","92,900,000","90,400,000","89,100,000","88,900,000","88,300,000","87,100,000","87,100,000","86,800,000","86,500,000","85,800,000",,,,
	DeferredTaxAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","73,000,000","275,000,000","126,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesLendingCollateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","510,000,000","619,000,000","760,000,000","768,000,000","976,000,000","984,000,000",,"1,016,000,000","898,000,000","330,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetPPE,"198,000,000","199,000,000","202,000,000","204,000,000","201,000,000","203,000,000","205,000,000","209,000,000","213,000,000","213,000,000","213,000,000","211,000,000","209,000,000","208,000,000","207,000,000","207,000,000","207,000,000","202,000,000","195,000,000","191,000,000","188,000,000","186,000,000","185,000,000","186,000,000","184,000,000","181,000,000","183,000,000","184,000,000","186,000,000","188,000,000","185,000,000","188,000,000","187,000,000","189,000,000","194,000,000","198,000,000","203,000,000","207,000,000","210,000,000","211,000,000","213,000,000","216,000,000","217,000,000","223,000,000","229,000,000","235,000,000","227,000,000","228,000,000","234,000,000","243,000,000","229,000,000","236,000,000","243,000,000","249,000,000","251,000,000","258,000,000","249,000,000","236,000,000","236,000,000","235,000,000","234,000,000","242,000,000","239,000,000","227,000,000","212,000,000","204,000,000","193,000,000","185,000,000","184,000,000","183,000,000","168,000,000","167,000,000","164,000,000","158,000,000","156,000,000","157,000,000","134,000,000","132,000,000","136,000,000","121,000,000","124,000,000","125,000,000","128,000,000","131,000,000","120,000,000","123,000,000","125,000,000","129,256,000","132,853,000","121,112,000","122,005,000","120,651,000","118,249,000","115,414,000","107,784,000","96,900,000","70,400,000","50,300,000","53,639,000","55,100,000","55,500,000","55,100,000","52,559,000","40,900,000","40,800,000","39,200,000","39,486,000","37,700,000","35,300,000","33,500,000","33,056,000","32,600,000","33,600,000","32,600,000","32,673,000","32,900,000","33,000,000","32,400,000","31,300,000","32,700,000","33,200,000","33,500,000","34,000,000","35,000,000","35,300,000","32,600,000","31,700,000","26,900,000","25,800,000","24,600,000","23,800,000","24,800,000","25,000,000","24,800,000","24,900,000","25,700,000","26,500,000",,,,
	GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,
	SeparateAccountAssets,"911,000,000","899,000,000","892,000,000","888,000,000","860,000,000","903,000,000","959,000,000","956,000,000","952,000,000","929,000,000","952,000,000","929,000,000","911,000,000","858,000,000","882,000,000","878,000,000","859,000,000","831,000,000","803,000,000","795,000,000","792,000,000","803,000,000","806,000,000","798,000,000","790,000,000","775,000,000","766,000,000","790,000,000","797,000,000","773,000,000","748,000,000","773,000,000","742,000,000","764,000,000","752,000,000","730,000,000","731,000,000","725,000,000","692,000,000","700,000,000","713,000,000","726,000,000","734,000,000","715,000,000","698,000,000","686,000,000","671,000,000","665,000,000","657,000,000","630,000,000","621,000,000","648,000,000","626,000,000","615,000,000","585,000,000","586,000,000","559,000,000","554,000,000","548,000,000","547,000,000","533,000,000","537,000,000","528,000,000","521,000,000","508,000,000","511,000,000","504,000,000","505,000,000","481,000,000","487,000,000","486,000,000","487,000,000","489,000,000","479,000,000","477,000,000","481,000,000","459,000,000","488,000,000","463,000,000","466,000,000","459,000,000","439,000,000","427,000,000","415,000,000","404,000,000","390,000,000","390,000,000","390,356,000","375,243,000","376,613,000","357,615,000","319,212,000","313,742,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherAssets,"708,000,000","732,000,000","646,000,000","706,000,000","798,000,000","657,000,000","570,000,000","548,000,000","460,000,000","466,000,000","438,000,000","452,000,000","416,000,000","388,000,000","381,000,000","1,750,000,000","375,000,000","340,000,000","308,000,000","327,000,000","199,000,000","1,405,000,000","216,000,000","204,000,000","171,000,000","170,000,000","198,000,000","200,000,000","195,000,000","135,000,000","154,000,000","77,000,000","59,000,000","63,000,000","75,000,000","69,000,000","98,000,000","79,000,000","73,000,000","54,000,000","94,000,000","57,000,000","61,000,000","47,000,000","179,000,000","97,000,000","93,000,000","142,000,000","161,000,000","66,000,000","67,000,000","176,000,000","1,652,000,000","55,000,000","45,000,000","71,000,000","1,682,000,000","138,000,000","49,000,000","1,847,000,000","126,000,000","49,000,000","72,000,000","46,000,000","51,000,000","85,000,000","58,000,000","63,000,000","76,000,000","68,000,000","111,000,000","151,000,000","119,000,000","119,000,000","75,000,000","118,000,000","125,000,000","101,000,000","92,000,000","153,000,000","117,000,000","124,000,000","131,000,000","148,000,000","127,000,000","102,000,000","99,000,000","106,633,000","113,720,000","97,925,000","173,533,000","78,674,000","112,222,000","95,761,000","120,695,000","9,977,900,000","10,673,400,000","10,494,900,000","70,689,000","9,572,000,000","10,118,100,000","9,709,800,000","30,839,000","8,230,400,000","7,644,800,000","7,154,300,000","65,333,000","6,335,100,000","6,074,500,000","6,096,800,000","36,113,000","5,344,200,000","5,074,400,000","4,772,300,000","26,269,000","4,497,400,000","4,355,400,000","4,311,500,000","4,332,500,000","4,289,400,000","4,266,800,000","3,976,100,000","3,850,100,000","3,678,400,000","3,468,800,000","3,407,400,000","3,267,800,000","3,077,600,000","2,854,500,000","2,699,900,000","2,438,600,000","2,271,000,000","2,356,100,000","2,357,700,000","2,404,000,000","2,372,900,000","2,183,900,000",,,,
