name,ttm,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"101,154,000,000","25,167,000,000","25,197,000,000","26,258,000,000","24,532,000,000","24,502,000,000","22,688,000,000","23,228,000,000","22,060,000,000","22,766,000,000","21,466,000,000","22,822,000,000","20,099,000,000","20,336,000,000","22,326,000,000","22,767,000,000","22,349,000,000","22,807,000,000","23,084,000,000","23,004,000,000","22,677,000,000","22,777,000,000","22,609,000,000","23,125,000,000","20,436,000,000","21,839,000,000","22,829,000,000","22,248,000,000","19,990,000,000","21,635,000,000","20,398,000,000","19,512,000,000","19,351,000,000","20,713,000,000","22,029,000,000","21,175,000,000","18,745,000,000","21,200,000,000","21,390,000,000","21,782,000,000","21,014,000,000","20,346,000,000","22,047,000,000","22,934,000,000","17,961,000,000","20,196,000,000","21,606,000,000","21,553,000,000","21,661,000,000","27,092,000,000","12,069,000,000","25,490,000,000","20,886,000,000","26,466,000,000","29,153,000,000","31,969,000,000","23,050,000,000","25,989,000,000","26,831,000,000","35,758,000,000","16,471,000,000","19,621,000,000","20,315,000,000","17,003,000,000","8,608,000,000","15,929,000,000","19,563,000,000","18,155,000,000","15,297,000,000","18,184,000,000","18,221,000,000","17,691,000,000","13,518,000,000","14,636,000,000","14,340,000,000","14,681,000,000","13,896,000,000","13,292,000,000","13,816,000,000","10,013,000,000","9,768,000,000","9,976,000,000","9,916,000,000","9,167,000,000","9,108,000,000","8,711,000,000","8,668,000,000","8,637,000,000","9,208,000,000","8,730,000,000","8,764,000,000","8,411,000,000","7,994,000,000","8,249,000,000","8,137,000,000","8,576,000,000","8,085,000,000","8,322,000,000","8,186,000,000","7,953,000,000","7,668,000,000","7,129,000,000","4,908,000,000","3,553,000,000","3,550,000,000","3,215,000,000","3,182,000,000","3,108,000,000","2,581,000,000","2,507,000,000","2,498,000,000","2,456,000,000","2,262,000,000","2,170,000,000","2,070,000,000","2,034,000,000","1,919,000,000","1,957,000,000","1,954,000,000","1,982,000,000","1,918,000,000","1,722,000,000","1,614,000,000","1,592,000,000","1,529,000,000","1,592,000,000","1,477,000,000","1,662,000,000"
	NetInterestIncome,"57,666,000,000","14,379,000,000","14,158,000,000","14,448,000,000","14,681,000,000","13,765,000,000","12,444,000,000","11,572,000,000","11,410,000,000","11,094,000,000","10,233,000,000","10,197,000,000","10,253,000,000","10,129,000,000","10,848,000,000","12,130,000,000","12,140,000,000","12,187,000,000","12,189,000,000","12,375,000,000","12,504,000,000","11,870,000,000","11,650,000,000","11,608,000,000","11,462,000,000","11,161,000,000","10,986,000,000","11,058,000,000","10,292,000,000","10,201,000,000","9,213,000,000","9,171,000,000","9,801,000,000","9,511,000,000","10,488,000,000","9,451,000,000","9,635,000,000","10,219,000,000","10,013,000,000","10,085,000,000","10,786,000,000","10,266,000,000","10,549,000,000","10,664,000,000","10,324,000,000","9,938,000,000","9,548,000,000","10,846,000,000","10,701,000,000","10,490,000,000","11,246,000,000","12,179,000,000","12,439,000,000","12,435,000,000","12,900,000,000","13,749,000,000","11,559,000,000","11,423,000,000","11,630,000,000","12,497,000,000","13,106,000,000","11,642,000,000","10,621,000,000","9,991,000,000","9,164,000,000","8,615,000,000","8,386,000,000","8,268,000,000","8,599,000,000","8,586,000,000","8,630,000,000","8,776,000,000","7,441,000,000","7,773,000,000","7,650,000,000","7,873,000,000","7,750,000,000","7,665,000,000","7,581,000,000","5,801,000,000","5,586,000,000","5,304,000,000","5,365,000,000","5,209,000,000","5,374,000,000","5,302,000,000","5,094,000,000","5,153,000,000","5,417,000,000","5,204,000,000","5,030,000,000","4,639,000,000","4,694,000,000","4,593,000,000","4,631,000,000","4,524,000,000","4,475,000,000","4,550,000,000","4,612,000,000","4,600,000,000","4,609,000,000","4,444,000,000","2,527,000,000","2,530,000,000","1,988,000,000","1,972,000,000","1,988,000,000","1,950,000,000","1,590,000,000","1,595,000,000","1,587,000,000","1,557,000,000","1,413,000,000","1,391,000,000","1,336,000,000","1,307,000,000","1,300,000,000","1,306,000,000","1,317,000,000","1,288,000,000","1,303,000,000","1,148,000,000","1,111,000,000","1,075,000,000","1,076,000,000","1,037,000,000","998,000,000","987,000,000"
		InterestIncome,"119,708,000,000","33,624,000,000","32,354,000,000","28,655,000,000","25,075,000,000","19,621,000,000","14,975,000,000","12,894,000,000","12,554,000,000","12,336,000,000","11,387,000,000","11,395,000,000","11,461,000,000","11,486,000,000","12,540,000,000","16,098,000,000","16,926,000,000","17,916,000,000","18,224,000,000","18,170,000,000","17,836,000,000","16,965,000,000","16,369,000,000","15,599,000,000","15,066,000,000","14,657,000,000","14,146,000,000","13,710,000,000","12,865,000,000","12,610,000,000","11,668,000,000","11,695,000,000","12,698,000,000","12,007,000,000","13,132,000,000","11,963,000,000","12,152,000,000","12,858,000,000","12,941,000,000","12,935,000,000","13,712,000,000","13,382,000,000","13,825,000,000","14,101,000,000","13,971,000,000","13,976,000,000","13,992,000,000","15,461,000,000","15,413,000,000","15,853,000,000","17,048,000,000","17,922,000,000","18,290,000,000","18,209,000,000","12,900,000,000","13,749,000,000","17,645,000,000","18,523,000,000","19,592,000,000","12,497,000,000","21,602,000,000","22,196,000,000","20,027,000,000","21,859,000,000","23,479,000,000","22,033,000,000","21,232,000,000","20,560,000,000","20,491,000,000","20,672,000,000","19,297,000,000","18,125,000,000","15,973,000,000","15,209,000,000","14,291,000,000","13,153,000,000","12,129,000,000","11,518,000,000","11,008,000,000","8,572,000,000","8,068,000,000","7,855,000,000","7,995,000,000","7,725,000,000","8,121,000,000","8,185,000,000","7,984,000,000","7,871,000,000","8,805,000,000","9,322,000,000","9,925,000,000","10,241,000,000","11,170,000,000","11,265,000,000","10,737,000,000","10,086,000,000","9,622,000,000","9,294,000,000","9,206,000,000","9,201,000,000","9,638,000,000","9,608,000,000","5,206,000,000","5,269,000,000","4,288,000,000","4,155,000,000","4,109,000,000","4,027,000,000","3,358,000,000","3,423,000,000","3,442,000,000","3,573,000,000","3,361,000,000","3,398,000,000","3,391,000,000","3,070,000,000","2,918,000,000","2,701,000,000","2,512,000,000","2,398,000,000","2,353,000,000","2,067,000,000","1,905,000,000","1,882,000,000","1,888,000,000","1,904,000,000","1,932,000,000","2,056,000,000"
			InterestIncomeFromLoansAndLease,"54,011,000,000","14,830,000,000","13,970,000,000","13,097,000,000","12,114,000,000","10,231,000,000","8,222,000,000","7,352,000,000","7,423,000,000","7,502,000,000","7,123,000,000","7,234,000,000","7,603,000,000","7,894,000,000","8,569,000,000","9,963,000,000","10,365,000,000","10,894,000,000","10,942,000,000","10,885,000,000","10,716,000,000","10,401,000,000","10,071,000,000","9,623,000,000","9,344,000,000","9,203,000,000","8,920,000,000","8,754,000,000","8,391,000,000","8,358,000,000","8,219,000,000","8,260,000,000","8,051,000,000","8,005,000,000","7,978,000,000","8,036,000,000","8,377,000,000","8,535,000,000","8,635,000,000","8,760,000,000","9,086,000,000","9,146,000,000","9,060,000,000","9,178,000,000","9,366,000,000","9,597,000,000","9,744,000,000","10,173,000,000","10,512,000,000","11,205,000,000","11,320,000,000","11,929,000,000","12,149,000,000","12,485,000,000","12,887,000,000","13,475,000,000","11,405,000,000","11,620,000,000","12,329,000,000","13,349,000,000","14,220,000,000","14,261,000,000","13,121,000,000","14,415,000,000","15,363,000,000","14,111,000,000","13,323,000,000","12,884,000,000","12,705,000,000","12,638,000,000","11,804,000,000","11,127,000,000","9,468,000,000","8,956,000,000","8,312,000,000","8,107,000,000","7,922,000,000","7,508,000,000","7,237,000,000","5,549,000,000","5,580,000,000","5,328,000,000","5,412,000,000","5,348,000,000","5,502,000,000","5,553,000,000","5,530,000,000","5,349,000,000","5,795,000,000","6,511,000,000","7,201,000,000","7,659,000,000","8,250,000,000","8,305,000,000","7,923,000,000","7,394,000,000","7,063,000,000","6,883,000,000","6,853,000,000","6,770,000,000","7,030,000,000","7,084,000,000","3,797,000,000","3,775,000,000","2,973,000,000","3,182,000,000","3,204,000,000","3,122,000,000","2,602,000,000","2,619,000,000","2,634,000,000","2,664,000,000","2,526,000,000","2,458,000,000","2,365,000,000","2,227,000,000","2,105,000,000","1,983,000,000","1,864,000,000","1,798,000,000","1,746,000,000","1,548,000,000","1,493,000,000","1,454,000,000","1,354,000,000","1,475,000,000","1,491,000,000","1,487,000,000"
				InterestIncomeFromLoans,,,,,,,,,,"7,502,000,000","7,123,000,000","7,234,000,000","7,603,000,000","7,894,000,000","8,569,000,000","9,963,000,000","10,365,000,000","10,894,000,000","10,942,000,000","10,885,000,000","10,716,000,000","10,401,000,000","10,071,000,000","9,623,000,000","9,344,000,000","9,203,000,000","8,920,000,000","8,754,000,000","8,391,000,000","8,358,000,000","8,219,000,000","8,260,000,000","8,051,000,000","8,005,000,000","7,978,000,000","8,036,000,000","8,377,000,000","8,535,000,000","8,635,000,000","8,760,000,000","9,086,000,000","9,146,000,000","9,060,000,000","9,178,000,000","9,366,000,000",,,,"10,512,000,000",,,,"12,149,000,000",,,,"11,405,000,000",,,,"14,220,000,000","14,261,000,000","13,121,000,000","14,415,000,000","15,363,000,000","14,111,000,000","13,323,000,000","12,884,000,000","12,705,000,000","12,638,000,000","11,804,000,000","11,127,000,000","9,468,000,000","8,956,000,000","8,312,000,000","8,107,000,000","7,922,000,000","7,508,000,000","7,237,000,000","5,549,000,000","5,580,000,000","5,328,000,000","5,412,000,000","5,348,000,000","5,502,000,000","5,553,000,000","5,530,000,000","5,349,000,000","5,795,000,000","6,511,000,000","7,201,000,000","7,659,000,000","8,250,000,000","8,305,000,000","7,923,000,000","7,394,000,000","7,063,000,000","6,883,000,000","6,853,000,000","6,770,000,000","7,030,000,000","7,084,000,000","3,797,000,000","3,775,000,000","3,277,000,000","3,076,000,000","3,104,000,000","3,024,000,000","2,519,000,000","2,541,000,000","2,559,000,000","2,598,000,000","2,464,000,000","2,400,000,000","2,314,000,000","2,177,000,000","2,059,000,000","1,941,000,000","1,832,000,000","1,768,000,000","1,717,000,000","1,517,000,000","1,468,000,000","1,429,000,000","1,339,000,000","1,447,000,000","1,467,000,000","1,460,000,000"
				InterestIncomeFromLeases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,000,000","100,000,000","98,000,000","83,000,000","78,000,000","75,000,000","66,000,000","62,000,000","58,000,000","51,000,000","50,000,000","46,000,000","42,000,000","32,000,000","30,000,000","29,000,000","31,000,000","25,000,000","25,000,000","15,000,000","28,000,000","24,000,000","27,000,000"
			InterestIncomeFromSecurities,"27,914,000,000","6,875,000,000","6,767,000,000","7,488,000,000","6,784,000,000","5,688,000,000","5,272,000,000","4,904,000,000","4,521,000,000","4,249,000,000","3,774,000,000","3,602,000,000","3,302,000,000","3,078,000,000","3,448,000,000","4,090,000,000","4,075,000,000","4,148,000,000","4,338,000,000","4,441,000,000","4,383,000,000","4,158,000,000","4,054,000,000","3,940,000,000","3,851,000,000","3,720,000,000","3,757,000,000","3,617,000,000","3,338,000,000","3,220,000,000","2,430,000,000","2,383,000,000","3,629,000,000","2,973,000,000","4,144,000,000","2,970,000,000","2,773,000,000","3,336,000,000","3,299,000,000","3,174,000,000","3,586,000,000","3,254,000,000","3,729,000,000","3,886,000,000","3,425,000,000","3,220,000,000","3,148,000,000","4,077,000,000","3,532,000,000","3,229,000,000","4,213,000,000","4,508,000,000","4,690,000,000","4,246,000,000","4,725,000,000","4,859,000,000","4,580,000,000","4,818,000,000","5,235,000,000","6,258,000,000","5,971,000,000","5,965,000,000","5,129,000,000","5,138,000,000","5,096,000,000","4,853,000,000","4,599,000,000","4,653,000,000","4,641,000,000","4,936,000,000","4,748,000,000","4,562,000,000","4,392,000,000","4,347,000,000","4,225,000,000","3,716,000,000","3,096,000,000","3,046,000,000","2,918,000,000","2,221,000,000","1,659,000,000","1,598,000,000","2,018,000,000","1,820,000,000","2,040,000,000","2,110,000,000","1,872,000,000","1,824,000,000","1,986,000,000","1,821,000,000","1,830,000,000","1,692,000,000","1,935,000,000","2,003,000,000","1,965,000,000","1,867,000,000","1,835,000,000","1,690,000,000","1,668,000,000","1,720,000,000","1,803,000,000","1,689,000,000","1,106,000,000","1,198,000,000","1,021,000,000","789,000,000","705,000,000","689,000,000","569,000,000","625,000,000","637,000,000","700,000,000","636,000,000","657,000,000","699,000,000","573,000,000","578,000,000","540,000,000","525,000,000","499,000,000","523,000,000","435,000,000","358,000,000","377,000,000","487,000,000","377,000,000","352,000,000","464,000,000"
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000,000","31,000,000","28,000,000","25,000,000","20,000,000","17,000,000","18,000,000","28,000,000","32,000,000","42,000,000","40,000,000","32,000,000","29,000,000","15,000,000","14,000,000","20,000,000","18,000,000","20,000,000","21,000,000","21,000,000","20,000,000","24,000,000","27,000,000"
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"16,280,000,000","4,888,000,000","4,955,000,000","3,712,000,000","2,725,000,000","1,446,000,000","396,000,000","-7,000,000","-47,000,000","6,000,000","-42,000,000","-7,000,000","3,000,000","55,000,000","26,000,000","819,000,000","1,097,000,000","1,242,000,000","1,309,000,000","1,195,000,000","1,046,000,000","799,000,000","709,000,000","622,000,000","732,000,000","659,000,000","560,000,000","439,000,000","315,000,000","267,000,000","260,000,000","276,000,000","214,000,000","275,000,000","268,000,000","231,000,000","238,000,000","239,000,000","297,000,000","265,000,000","304,000,000","291,000,000","319,000,000","315,000,000","329,000,000","353,000,000","360,000,000","460,000,000","449,000,000","584,000,000","597,000,000","517,000,000","486,000,000","441,000,000","457,000,000","448,000,000","327,000,000","722,000,000","690,000,000","1,155,000,000","393,000,000","912,000,000","800,000,000","1,208,000,000","1,748,000,000","1,839,000,000","2,156,000,000","1,979,000,000","2,068,000,000","2,146,000,000","1,900,000,000","1,709,000,000","1,508,000,000","1,359,000,000","1,252,000,000","893,000,000","712,000,000","484,000,000","413,000,000","434,000,000","506,000,000","480,000,000","193,000,000","194,000,000","208,000,000","177,000,000","270,000,000","285,000,000","253,000,000","321,000,000","405,000,000","435,000,000","551,000,000","633,000,000","595,000,000","575,000,000","458,000,000","440,000,000","387,000,000","381,000,000","486,000,000","492,000,000","163,000,000","176,000,000","168,000,000","158,000,000","169,000,000","188,000,000","162,000,000","159,000,000","154,000,000","191,000,000","171,000,000","251,000,000","285,000,000","230,000,000","203,000,000","149,000,000","108,000,000","87,000,000","64,000,000","66,000,000","34,000,000","30,000,000","26,000,000","32,000,000","65,000,000","78,000,000"
			OtherInterestIncome,"21,503,000,000","7,031,000,000","6,662,000,000","4,358,000,000","3,452,000,000","2,256,000,000","1,085,000,000","645,000,000","657,000,000","579,000,000","532,000,000","566,000,000","553,000,000","459,000,000","497,000,000","1,226,000,000","1,389,000,000","1,632,000,000","1,635,000,000","1,649,000,000","1,691,000,000","1,607,000,000","1,535,000,000","1,414,000,000","1,139,000,000","1,075,000,000","909,000,000","900,000,000","821,000,000","765,000,000","759,000,000","776,000,000","804,000,000","754,000,000","742,000,000","726,000,000","764,000,000","748,000,000","710,000,000","736,000,000","736,000,000","691,000,000","717,000,000","722,000,000","851,000,000","806,000,000","740,000,000","751,000,000","920,000,000","835,000,000","918,000,000","968,000,000","965,000,000","1,037,000,000","1,062,000,000","1,097,000,000","1,333,000,000","1,363,000,000","1,338,000,000","1,394,000,000","1,018,000,000","1,058,000,000","977,000,000","1,098,000,000","1,272,000,000","1,230,000,000","1,154,000,000","1,044,000,000","1,077,000,000","952,000,000","845,000,000","727,000,000","605,000,000","547,000,000","502,000,000","437,000,000","399,000,000","480,000,000","440,000,000","368,000,000","323,000,000","449,000,000","372,000,000","363,000,000","371,000,000","345,000,000","312,000,000","413,000,000","771,000,000","669,000,000","489,000,000","455,000,000","434,000,000","324,000,000","254,000,000","250,000,000","266,000,000","281,000,000","298,000,000","330,000,000","319,000,000","343,000,000","140,000,000","120,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		InterestExpense,"62,042,000,000","19,245,000,000","18,196,000,000","14,207,000,000","10,394,000,000","5,856,000,000","2,531,000,000","1,322,000,000","1,144,000,000","1,242,000,000","1,154,000,000","1,198,000,000","1,208,000,000","1,357,000,000","1,692,000,000","3,968,000,000","4,786,000,000","5,729,000,000","6,035,000,000","5,795,000,000","5,332,000,000","5,095,000,000","4,719,000,000","3,991,000,000","3,604,000,000","3,496,000,000","3,160,000,000","2,652,000,000","2,573,000,000","2,409,000,000","2,455,000,000","2,524,000,000","2,897,000,000","2,496,000,000","2,644,000,000","2,512,000,000","2,517,000,000","2,639,000,000","2,928,000,000","2,850,000,000","2,926,000,000","3,116,000,000","3,276,000,000","3,437,000,000","3,647,000,000","4,038,000,000","4,444,000,000","4,615,000,000","4,712,000,000","5,363,000,000","5,802,000,000","5,743,000,000","5,851,000,000","5,774,000,000","6,231,000,000","6,130,000,000","6,086,000,000","7,100,000,000","7,962,000,000","9,659,000,000","8,496,000,000","10,554,000,000","9,406,000,000","11,868,000,000","14,315,000,000","13,418,000,000","12,846,000,000","12,292,000,000","11,892,000,000","12,086,000,000","10,667,000,000","9,349,000,000","8,532,000,000","7,436,000,000","6,641,000,000","5,280,000,000","4,379,000,000","3,853,000,000","3,427,000,000","2,771,000,000","2,482,000,000","2,551,000,000","2,630,000,000","2,516,000,000","2,747,000,000","2,883,000,000","2,890,000,000","2,718,000,000","3,388,000,000","4,118,000,000","4,895,000,000","5,602,000,000","6,476,000,000","6,672,000,000","6,106,000,000","5,562,000,000","5,147,000,000","4,744,000,000","4,594,000,000","4,601,000,000","5,029,000,000","5,164,000,000","2,679,000,000","2,739,000,000","2,300,000,000","2,183,000,000","2,121,000,000","2,077,000,000","1,768,000,000","1,828,000,000","1,855,000,000","2,016,000,000","1,948,000,000","2,007,000,000","2,055,000,000","1,763,000,000","1,618,000,000","1,395,000,000","1,195,000,000","1,110,000,000","1,050,000,000","919,000,000","794,000,000","807,000,000","812,000,000","867,000,000","934,000,000","1,069,000,000"
			InterestExpenseForDeposit,"20,438,000,000","7,340,000,000","5,785,000,000","4,314,000,000","2,999,000,000","1,235,000,000","320,000,000","164,000,000","143,000,000","133,000,000","128,000,000","133,000,000","159,000,000","227,000,000","373,000,000","1,184,000,000","1,548,000,000","1,880,000,000","1,965,000,000","1,795,000,000","1,562,000,000","1,230,000,000","943,000,000","760,000,000","679,000,000","624,000,000","346,000,000","282,000,000","279,000,000","266,000,000","245,000,000","225,000,000","211,000,000","214,000,000","216,000,000","220,000,000","237,000,000","270,000,000","282,000,000","291,000,000","314,000,000","334,000,000","366,000,000","382,000,000","438,000,000","484,000,000","519,000,000","549,000,000","616,000,000","704,000,000","843,000,000","839,000,000","894,000,000","950,000,000","1,031,000,000","1,122,000,000","1,472,000,000","1,710,000,000","-2,082,000,000","-2,543,000,000","3,296,000,000","3,846,000,000","3,520,000,000","4,588,000,000","5,253,000,000","4,545,000,000","4,261,000,000","4,034,000,000","3,989,000,000","3,976,000,000","3,508,000,000","3,007,000,000","2,661,000,000","2,409,000,000","2,379,000,000","2,043,000,000","1,829,000,000","1,711,000,000","1,529,000,000","1,206,000,000","1,178,000,000","1,278,000,000","1,269,000,000","1,183,000,000","1,292,000,000","1,414,000,000","1,384,000,000","1,344,000,000","1,713,000,000","2,097,000,000","2,363,000,000","2,713,000,000","2,927,000,000","2,868,000,000","2,720,000,000","2,495,000,000","2,324,000,000","2,198,000,000","2,168,000,000","2,313,000,000","2,598,000,000","2,830,000,000","1,238,000,000","1,203,000,000","982,000,000","980,000,000","995,000,000","998,000,000","794,000,000","822,000,000","848,000,000","858,000,000","826,000,000","830,000,000","842,000,000","783,000,000","718,000,000","632,000,000","546,000,000","519,000,000","537,000,000","514,000,000","537,000,000","561,000,000","571,000,000","644,000,000","724,000,000","833,000,000"
			InterestExpenseForShortTermDebt,"26,437,000,000","7,629,000,000","8,355,000,000","6,180,000,000","4,273,000,000","2,264,000,000","553,000,000","-112,000,000","-153,000,000","-41,000,000","-85,000,000","-79,000,000","-37,000,000","-24,000,000","-72,000,000","1,120,000,000","1,483,000,000","1,876,000,000","1,997,000,000","1,852,000,000","1,716,000,000","1,526,000,000","1,462,000,000","1,135,000,000","1,030,000,000","944,000,000","917,000,000","647,000,000","542,000,000","569,000,000","625,000,000","614,000,000","519,000,000","597,000,000","686,000,000","606,000,000","615,000,000","591,000,000","763,000,000","609,000,000","682,000,000","683,000,000","809,000,000","749,000,000","855,000,000","893,000,000","1,391,000,000","1,358,000,000","921,000,000","1,700,000,000","1,968,000,000","1,811,000,000","1,142,000,000","1,483,000,000","1,618,000,000","1,478,000,000","658,000,000","1,237,000,000","-1,396,000,000","-2,221,000,000","1,910,000,000","3,223,000,000","3,087,000,000","4,142,000,000","5,599,000,000","5,521,000,000","5,537,000,000","5,318,000,000","5,222,000,000","5,467,000,000","4,842,000,000","4,309,000,000","3,644,000,000","3,325,000,000","2,677,000,000","1,969,000,000","1,474,000,000","1,183,000,000","1,037,000,000","740,000,000","537,000,000","447,000,000","514,000,000","453,000,000","557,000,000","526,000,000","529,000,000","477,000,000","700,000,000","869,000,000","1,221,000,000","1,377,000,000","1,942,000,000","2,223,000,000","1,990,000,000","1,802,000,000","1,638,000,000","1,437,000,000","1,396,000,000","1,354,000,000","1,422,000,000","1,278,000,000",,,"660,000,000","571,000,000","524,000,000","509,000,000","455,000,000","499,000,000","550,000,000","651,000,000","642,000,000","691,000,000","779,000,000","598,000,000","756,000,000","629,000,000","514,000,000","454,000,000","379,000,000","310,000,000","173,000,000","167,000,000","171,000,000","151,000,000","145,000,000","172,000,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"13,260,000,000","3,766,000,000","3,584,000,000","3,209,000,000","2,701,000,000","1,974,000,000","1,288,000,000","906,000,000","850,000,000","865,000,000","818,000,000","898,000,000","876,000,000","942,000,000","1,168,000,000","1,335,000,000","1,473,000,000","1,670,000,000","1,754,000,000","1,803,000,000","1,736,000,000","2,004,000,000","1,966,000,000","1,739,000,000","1,581,000,000","1,609,000,000","1,590,000,000","1,459,000,000","1,512,000,000","1,330,000,000","1,343,000,000","1,393,000,000","1,895,000,000","1,343,000,000","1,407,000,000","1,313,000,000","1,314,000,000","1,386,000,000","1,485,000,000","1,515,000,000","1,566,000,000","1,724,000,000","1,674,000,000","1,834,000,000","1,934,000,000","2,243,000,000","2,534,000,000","2,708,000,000","2,764,000,000","2,959,000,000","2,991,000,000","3,093,000,000","3,254,000,000","3,341,000,000","3,582,000,000","3,530,000,000","3,365,000,000","3,698,000,000","4,034,000,000","4,316,000,000","2,766,000,000","2,824,000,000","2,050,000,000","2,298,000,000","2,638,000,000","2,446,000,000","2,227,000,000","2,048,000,000","1,881,000,000","1,916,000,000","1,721,000,000","1,516,000,000","1,608,000,000","995,000,000","974,000,000","841,000,000","724,000,000","626,000,000","563,000,000","491,000,000","450,000,000","481,000,000","531,000,000","572,000,000","609,000,000","601,000,000","633,000,000","612,000,000","707,000,000","867,000,000","999,000,000","1,222,000,000","1,322,000,000","1,344,000,000","1,207,000,000","1,084,000,000","995,000,000","920,000,000","880,000,000","805,000,000","844,000,000","862,000,000","1,269,000,000","1,342,000,000","468,000,000","469,000,000","442,000,000","405,000,000","367,000,000","344,000,000","310,000,000","316,000,000","295,000,000","246,000,000","185,000,000","160,000,000","144,000,000","134,000,000","135,000,000","137,000,000","134,000,000","95,000,000","84,000,000","79,000,000","70,000,000","72,000,000","65,000,000","64,000,000"
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,"42,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestExpense,"1,907,000,000","510,000,000","472,000,000","504,000,000","421,000,000","383,000,000","370,000,000","364,000,000","304,000,000","285,000,000","293,000,000","246,000,000","210,000,000","212,000,000","223,000,000","329,000,000","282,000,000","303,000,000","319,000,000","345,000,000","318,000,000","335,000,000","348,000,000","357,000,000","314,000,000","319,000,000","307,000,000","264,000,000","240,000,000","244,000,000","242,000,000","292,000,000","272,000,000","342,000,000","335,000,000","373,000,000","351,000,000","392,000,000","398,000,000","435,000,000","364,000,000","375,000,000","427,000,000","472,000,000","420,000,000","418,000,000","448,000,000","477,000,000","411,000,000","547,000,000","627,000,000","627,000,000","561,000,000","635,000,000",,,"591,000,000","455,000,000","7,406,000,000","10,107,000,000","524,000,000","661,000,000","749,000,000","840,000,000","825,000,000","906,000,000","821,000,000","892,000,000","800,000,000","727,000,000","596,000,000","517,000,000","619,000,000","707,000,000","611,000,000","427,000,000","352,000,000","333,000,000","298,000,000","334,000,000","317,000,000","345,000,000","316,000,000","308,000,000","289,000,000","342,000,000","344,000,000","285,000,000","268,000,000","285,000,000","312,000,000","290,000,000","285,000,000","237,000,000","189,000,000","181,000,000","190,000,000","189,000,000","150,000,000","129,000,000","165,000,000","194,000,000","172,000,000","194,000,000","190,000,000","163,000,000","160,000,000","165,000,000","152,000,000","163,000,000","147,000,000","191,000,000","185,000,000","240,000,000","249,000,000","222,000,000",,,,,,,,,,,,
